,A10,A7,B8,C9,D10,E8,F9,G10,G7,H8
ENSMUSG00000026150,1338.19626959559,1130.04189623477,1226.80072748052,1007.98184099011,1043.20685438097,1428.87218242643,1330.75235808935,1560.5343607869,888.927902538221,1166.79001729016
ENSMUSG00000101450,1.49268964818247,0,5.95534333728409,6.71987893993409,5.49056239147877,10.3405223728228,10.3762367102483,8.25679555971902,0,3.09219969246508
ENSMUSG00000100170,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100744,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026159,1733.01268153985,1684.63357603728,2239.20909481882,1663.17003763369,2275.83811126795,2106.64642159054,2219.64996960062,2086.61019216328,1266.61278723734,1556.40717854076
ENSMUSG00000101784,0,0,0,0,0,0.940047488438438,0,0,0,0
ENSMUSG00000038496,0,1.22697274292592,0,0,0,0,0,0,0,0
ENSMUSG00000100432,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026166,0,0,3.57320600237045,0,1.83018746382626,0,0,0,0,1.03073323082169
ENSMUSG00000101173,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000053161,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101896,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000079140,5.97075859272989,8.58880920048142,3.57320600237045,4.19992433745881,5.49056239147877,5.64028493063063,5.18811835512417,3.53862666845101,5.47369398114668,3.09219969246508
ENSMUSG00000045658,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000036766,0,1.22697274292592,1.19106866745682,0,0,0,1.72937278504139,0,0,1.03073323082169
ENSMUSG00000104396,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026219,5169.93059648,3744.7208114099,4776.18535650184,4014.28768174313,4636.77993960382,5724.88920459009,3974.09866002511,5652.36633173908,3880.849032633,3171.56615123835
ENSMUSG00000103505,0,1.22697274292592,2.38213733491363,0,0,0,0.864686392520695,0,2.18947759245867,0
ENSMUSG00000104503,1.49268964818247,3.68091822877775,2.38213733491363,0.839984867491761,5.49056239147877,2.82014246531532,4.32343196260347,5.89771111408502,8.75791036983469,1.03073323082169
ENSMUSG00000073633,185.839861198718,208.585366297406,104.8140427362,372.11329629885,111.641435293402,312.095766161562,137.48513641079,156.879115634661,394.105966642561,102.042589851348
ENSMUSG00000096802,0,0,4.76427466982727,0,12.8113122467838,0.940047488438438,0.864686392520695,0,0,9.27659907739525
ENSMUSG00000099693,0,0,0,0,0,0,0.864686392520695,0,0,0
ENSMUSG00000052477,0,2.45394548585183,10.7196180071114,0,16.4716871744363,1.88009497687688,1.72937278504139,0,0,5.15366615410847
ENSMUSG00000064281,26.8684136672845,42.9440460024071,19.0570986793091,19.3196519523105,46.6697803275695,21.6210922340841,31.128710130745,44.8226044670461,32.8421638868801,21.6453978472556
ENSMUSG00000061852,0,0,1.19106866745682,0,7.32074985530503,0,0,0,0,2.06146646164339
ENSMUSG00000089844,0,0,0,0,0.915093731913128,0,1.72937278504139,0,1.09473879622934,2.06146646164339
ENSMUSG00000072109,0,0,1.19106866745682,0,0,0,0.864686392520695,0,0,5.15366615410847
ENSMUSG00000089763,0,0,0,0,3.66037492765251,0,0,0,0,1.03073323082169
ENSMUSG00000089716,0,1.22697274292592,0,0,0,0,0,0,0,1.03073323082169
ENSMUSG00000079457,0,0,4.76427466982727,0,7.32074985530503,0,0.864686392520695,0,0,8.24586584657355
ENSMUSG00000079455,0,0,1.19106866745682,0,0.915093731913128,0,0,0,0,0
ENSMUSG00000091199,0,0,20.2481673467659,0,50.3301552552221,0.940047488438438,5.18811835512417,1.179542222817,0,12.3687987698603
ENSMUSG00000089652,0,0,0,0,5.49056239147877,0,0,1.179542222817,0,0
ENSMUSG00000089937,0,0,0,0,0.915093731913128,0,0,0,0,0
ENSMUSG00000096292,0,0,1.19106866745682,0,4.57546865956564,0,0,0,0,0
ENSMUSG00000101751,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089714,2.23903447227371,1.22697274292592,0,5.03990920495057,8.23584358721816,0.940047488438438,0.864686392520695,1.179542222817,1.09473879622934,3.09219969246508
