,A10,A7,B8,C9,D10,E8,F9,G10,G7,H8
ENSMUSG00000100237,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000086727,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099796,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000050217,0,0,0,0,1,0,0,2,0,0
ENSMUSG00000100592,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094215,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000070960,3,4,1,10,6,4,8,2,6,5
ENSMUSG00000082159,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026058,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104498,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102926,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100481,0,0,1,1,0,0,0,0,1,0
ENSMUSG00000104230,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100318,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000101612,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026134,2271,2014,2055,2548,2500,2441,2893,2628,1512,1984
ENSMUSG00000101682,0,0,0,0,0,1,1,0,0,1
ENSMUSG00000102714,0,2,0,0,0,1,0,1,2,0
ENSMUSG00000102093,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000103746,27,40,15,47,32,27,53,28,53,23
ENSMUSG00000102198,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000004768,845,553,646,963,926,1043,976,713,604,586
ENSMUSG00000042215,959,302,485,863,664,885,630,524,379,504
ENSMUSG00000103072,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042197,1175,805,826,921,1100,1196,1244,924,902,749
ENSMUSG00000081402,5,4,5,8,3,5,3,2,2,8
ENSMUSG00000042182,93,86,88,74,56,72,39,51,32,93
ENSMUSG00000104416,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000026131,779,965,683,1046,934,795,1386,1029,1385,566
ENSMUSG00000103596,0,0,0,0,2,0,2,1,0,0
ENSMUSG00000103364,8,33,8,9,21,6,28,24,112,5
ENSMUSG00000096992,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000104475,36,7,4,8,11,10,10,14,4,0
ENSMUSG00000103001,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000102336,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042111,489,211,198,311,445,311,384,389,254,227
ENSMUSG00000101711,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026127,1457,677,679,954,1379,1379,1201,1038,715,734
ENSMUSG00000026126,43,79,18,23,58,56,4,29,166,24
ENSMUSG00000100280,6,6,1,2,1,12,0,2,22,4
ENSMUSG00000101223,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000037509,76,32,35,74,199,86,77,72,112,32
