"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Cct5",2.66412135630375e-206,-0.250616349541092,1,1,6.81535525369625e-202,"Cct5"
"Hsp90b1",2.66736544410056e-206,0.374886565299284,1,1,6.82365427909806e-202,"Hsp90b1"
"Rif1",8.72157402116938e-206,0.517649632691984,0.951,0.874,2.23115306609555e-201,"Rif1"
"Supt6",1.86729618833811e-205,0.575701406843456,0.831,0.658,4.77691710900656e-201,"Supt6"
"Cd2ap",1.01070674454948e-204,0.627788484841859,0.896,0.766,2.58558999390647e-200,"Cd2ap"
"Ncl",1.98207438673053e-203,0.575053333295434,1,1,5.07054269613405e-199,"Ncl"
"Rps15",4.46935285542552e-203,0.261726589188148,1,1,1.14334984747496e-198,"Rps15"
"Trmt112",2.51307219442839e-202,-0.345944982782596,0.998,1,6.42894128778671e-198,"Trmt112"
"Rnf187",5.37881455339057e-202,-0.368775575844547,0.992,1,1.37600833904838e-197,"Rnf187"
"H3c2",4.12544064187452e-201,0.505480373943909,0.259,0.043,1.05537022500434e-196,"H3c2"
"Mybbp1a",7.88528314709874e-201,0.650913718087869,0.985,0.974,2.0172131346908e-196,"Mybbp1a"
"Cox6c",2.10243176775847e-200,0.302970180332931,1,1,5.37844094827971e-196,"Cox6c"
"Ythdc1",5.75400509291611e-200,0.506962251645619,0.97,0.924,1.4719895828698e-195,"Ythdc1"
"Gm39459",6.32907587834557e-200,-0.608377525933387,0.008,0.203,1.61910419119836e-195,"Gm39459"
"Pkn2",7.16464742077936e-198,0.473500161318629,0.966,0.92,1.83286010318378e-193,"Pkn2"
"Atp5e",1.60882973344964e-197,0.270913247284891,1,1,4.11570822411088e-193,"Atp5e"
"Rrbp1",4.02016235774707e-197,0.621466662016945,0.966,0.929,1.02843793435886e-192,"Rrbp1"
"Nr6a1",7.39577880189245e-197,0.696927363079586,0.912,0.788,1.89198813310013e-192,"Nr6a1"
"Slc4a7",1.44756441682528e-196,0.637161260461011,0.74,0.53,3.70315929112244e-192,"Slc4a7"
"Cnbp",1.60801414062847e-196,-0.277503450403642,1,1,4.11362177455576e-192,"Cnbp"
"Topbp1",7.16066337026274e-196,0.484049733736926,0.935,0.819,1.83184090338061e-191,"Topbp1"
"Ccdc50",1.00168383390267e-195,0.544050392744279,0.902,0.806,2.5625075838898e-191,"Ccdc50"
