"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Mfsd14a",1.26576735860094e-27,-0.255625009740589,0.627,0.711,3.23808605677293e-23,"Mfsd14a"
"Ppp1r37",1.36430482989625e-27,-0.261561342707337,0.451,0.569,3.49016461584059e-23,"Ppp1r37"
"Baz1a",1.53123058297954e-27,0.259727087541986,0.609,0.464,3.91719407737826e-23,"Baz1a"
"Smyd5",1.5553859753638e-27,-0.267516434689815,0.621,0.709,3.97898840217568e-23,"Smyd5"
"Prkab1",2.31200605123949e-27,-0.276104227921981,0.557,0.651,5.91457388028087e-23,"Prkab1"
"Pisd",3.28901518510757e-27,-0.274507461824628,0.579,0.666,8.41395864654217e-23,"Pisd"
"Kif20a",3.71889889885307e-27,-0.266499926605773,0.722,0.805,9.51368716304592e-23,"Kif20a"
"Pabpc4",4.09191411994798e-27,-0.250374806093598,0.778,0.834,1.04679347016509e-22,"Pabpc4"
"Rnf181",7.38898784989628e-27,-0.268097982767725,0.633,0.71,1.89025087176047e-22,"Rnf181"
"Abhd17c",9.99885663655363e-27,-0.270546424931063,0.509,0.615,2.55790750476315e-22,"Abhd17c"
"Preb",1.14481771602802e-26,-0.256162558936763,0.622,0.703,2.92867268114288e-22,"Preb"
"Mest",1.17649976665462e-26,-0.495436109316193,0.909,0.963,3.00972170305584e-22,"Mest"
"Fzd3",1.22923877589254e-26,0.262947313136507,0.703,0.579,3.1446386364883e-22,"Fzd3"
"Gt(ROSA)26Sor",1.40921551440295e-26,-0.284095238918147,0.66,0.755,3.60505512894563e-22,"Gt(ROSA)26Sor"
"Dpp9",1.67713069497997e-26,-0.261772380229935,0.454,0.564,4.29043574389777e-22,"Dpp9"
"Gstm5",2.3054946931768e-26,-0.302958168302053,0.875,0.939,5.89791652408489e-22,"Gstm5"
"Ptpn13",2.65242094857879e-26,0.262215319244389,0.583,0.439,6.78542327065426e-22,"Ptpn13"
"Tgif2",4.71420657939732e-26,-0.272834982112796,0.584,0.672,1.20598832714142e-21,"Tgif2"
