"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm42047",3.23800290068624e-26,0.409753407451012,0.536,0.412,8.28345902053555e-22
"Gpc3",3.43187775712909e-26,0.344215836410061,0.965,0.912,8.77942967828764e-22
"Sec61a1",3.80710516132104e-26,0.280609113107874,0.774,0.711,9.73933642369148e-22
"Ubqln1",4.3695683128056e-26,0.268580326002029,0.832,0.799,1.11782296578193e-21
"1810009A15Rik",5.92934490265665e-26,0.368088615740925,0.468,0.364,1.51684501299762e-21
"4833439L19Rik",8.44246568138391e-26,0.337361943361887,0.711,0.669,2.15975157061163e-21
"Strn4",9.97232336669905e-26,0.258913218888016,0.598,0.488,2.55111976366895e-21
"Gpx8",1.06759637418704e-25,-0.257149153160004,0.385,0.52,2.73112504444529e-21
"Cdk2",1.13395993961928e-25,0.264467753723562,0.645,0.535,2.90089631753404e-21
"Mfsd14a",1.91441594674225e-25,0.251862586286277,0.711,0.627,4.89745887495603e-21
"Itm2b",3.02709723125039e-25,-0.317812662301618,0.816,0.886,7.74392013698474e-21
"Crk",3.13174184366502e-25,0.267028573721574,0.74,0.671,8.01162198446386e-21
"Dnajc5",3.38184395036964e-25,0.270816213042954,0.796,0.75,8.65143319383562e-21
"Ndufb4",3.88594734452696e-25,0.347724914852388,0.546,0.463,9.94103049676888e-21
"Atf1",4.39370663251876e-25,0.262605002379865,0.76,0.698,1.12399803073095e-20
"Casc3",5.35904270617531e-25,0.297889663205017,0.696,0.626,1.37095030509377e-20
"Tiparp",6.62843104019585e-25,0.322576506488808,0.663,0.552,1.6956852287029e-20
"Nob1",6.72343665657369e-25,0.266356804909172,0.834,0.793,1.71998956548468e-20
"Rab5a",7.59527143774954e-25,0.284799466933408,0.869,0.844,1.94302233920509e-20
"Taok1",8.60696973856232e-25,0.265516688430524,0.713,0.636,2.20183499851901e-20
"Map4k4",1.01325270391161e-24,0.262473796220107,0.894,0.866,2.59210306714669e-20
"Tuba1c",1.32734728859429e-24,-0.308577247900836,0.641,0.744,3.39561983368192e-20
"Ndufaf2",1.33041190386631e-24,0.255937764977285,0.93,0.904,3.40345973247079e-20
"Grcc10",1.40347727406356e-24,0.285849220669356,0.515,0.404,3.5903755625094e-20
"Phf20l1",2.19652876914728e-24,0.304048497397493,0.709,0.652,5.61915989723256e-20
"Ythdf3",3.46022818899565e-24,0.268147864631452,0.694,0.629,8.85195575308867e-20
"Rbm34",7.76426039263553e-24,0.281090300134808,0.685,0.616,1.98625309364402e-19
